DATE,USREC
01/01/1980,0
01/02/1980,1
01/03/1980,1
01/04/1980,1
01/05/1980,1
01/06/1980,1
01/07/1980,1
01/08/1980,0
01/09/1980,0
01/10/1980,0
01/11/1980,0
01/12/1980,0
01/01/1981,0
01/02/1981,0
01/03/1981,0
01/04/1981,0
01/05/1981,0
01/06/1981,0
01/07/1981,0
01/08/1981,1
01/09/1981,1
01/10/1981,1
01/11/1981,1
01/12/1981,1
01/01/1982,1
01/02/1982,1
01/03/1982,1
01/04/1982,1
01/05/1982,1
01/06/1982,1
01/07/1982,1
01/08/1982,1
01/09/1982,1
01/10/1982,1
01/11/1982,1
01/12/1982,0
01/01/1983,0
01/02/1983,0
01/03/1983,0
01/04/1983,0
01/05/1983,0
01/06/1983,0
01/07/1983,0
01/08/1983,0
01/09/1983,0
01/10/1983,0
01/11/1983,0
01/12/1983,0
01/01/1984,0
01/02/1984,0
01/03/1984,0
01/04/1984,0
01/05/1984,0
01/06/1984,0
01/07/1984,0
01/08/1984,0
01/09/1984,0
01/10/1984,0
01/11/1984,0
01/12/1984,0
01/01/1985,0
01/02/1985,0
01/03/1985,0
01/04/1985,0
01/05/1985,0
01/06/1985,0
01/07/1985,0
01/08/1985,0
01/09/1985,0
01/10/1985,0
01/11/1985,0
01/12/1985,0
01/01/1986,0
01/02/1986,0
01/03/1986,0
01/04/1986,0
01/05/1986,0
01/06/1986,0
01/07/1986,0
01/08/1986,0
01/09/1986,0
01/10/1986,0
01/11/1986,0
01/12/1986,0
01/01/1987,0
01/02/1987,0
01/03/1987,0
01/04/1987,0
01/05/1987,0
01/06/1987,0
01/07/1987,0
01/08/1987,0
01/09/1987,0
01/10/1987,0
01/11/1987,0
01/12/1987,0
01/01/1988,0
01/02/1988,0
01/03/1988,0
01/04/1988,0
01/05/1988,0
01/06/1988,0
01/07/1988,0
01/08/1988,0
01/09/1988,0
01/10/1988,0
01/11/1988,0
01/12/1988,0
01/01/1989,0
01/02/1989,0
01/03/1989,0
01/04/1989,0
01/05/1989,0
01/06/1989,0
01/07/1989,0
01/08/1989,0
01/09/1989,0
01/10/1989,0
01/11/1989,0
01/12/1989,0
01/01/1990,0
01/02/1990,0
01/03/1990,0
01/04/1990,0
01/05/1990,0
01/06/1990,0
01/07/1990,0
01/08/1990,1
01/09/1990,1
01/10/1990,1
01/11/1990,1
01/12/1990,1
01/01/1991,1
01/02/1991,1
01/03/1991,1
01/04/1991,0
01/05/1991,0
01/06/1991,0
01/07/1991,0
01/08/1991,0
01/09/1991,0
01/10/1991,0
01/11/1991,0
01/12/1991,0
01/01/1992,0
01/02/1992,0
01/03/1992,0
01/04/1992,0
01/05/1992,0
01/06/1992,0
01/07/1992,0
01/08/1992,0
01/09/1992,0
01/10/1992,0
01/11/1992,0
01/12/1992,0
01/01/1993,0
01/02/1993,0
01/03/1993,0
01/04/1993,0
01/05/1993,0
01/06/1993,0
01/07/1993,0
01/08/1993,0
01/09/1993,0
01/10/1993,0
01/11/1993,0
01/12/1993,0
01/01/1994,0
01/02/1994,0
01/03/1994,0
01/04/1994,0
01/05/1994,0
01/06/1994,0
01/07/1994,0
01/08/1994,0
01/09/1994,0
01/10/1994,0
01/11/1994,0
01/12/1994,0
01/01/1995,0
01/02/1995,0
01/03/1995,0
01/04/1995,0
01/05/1995,0
01/06/1995,0
01/07/1995,0
01/08/1995,0
01/09/1995,0
01/10/1995,0
01/11/1995,0
01/12/1995,0
01/01/1996,0
01/02/1996,0
01/03/1996,0
01/04/1996,0
01/05/1996,0
01/06/1996,0
01/07/1996,0
01/08/1996,0
01/09/1996,0
01/10/1996,0
01/11/1996,0
01/12/1996,0
01/01/1997,0
01/02/1997,0
01/03/1997,0
01/04/1997,0
01/05/1997,0
01/06/1997,0
01/07/1997,0
01/08/1997,0
01/09/1997,0
01/10/1997,0
01/11/1997,0
01/12/1997,0
01/01/1998,0
01/02/1998,0
01/03/1998,0
01/04/1998,0
01/05/1998,0
01/06/1998,0
01/07/1998,0
01/08/1998,0
01/09/1998,0
01/10/1998,0
01/11/1998,0
01/12/1998,0
01/01/1999,0
01/02/1999,0
01/03/1999,0
01/04/1999,0
01/05/1999,0
01/06/1999,0
01/07/1999,0
01/08/1999,0
01/09/1999,0
01/10/1999,0
01/11/1999,0
01/12/1999,0
01/01/2000,0
01/02/2000,0
01/03/2000,0
01/04/2000,0
01/05/2000,0
01/06/2000,0
01/07/2000,0
01/08/2000,0
01/09/2000,0
01/10/2000,0
01/11/2000,0
01/12/2000,0
01/01/2001,0
01/02/2001,0
01/03/2001,0
01/04/2001,1
01/05/2001,1
01/06/2001,1
01/07/2001,1
01/08/2001,1
01/09/2001,1
01/10/2001,1
01/11/2001,1
01/12/2001,0
01/01/2002,0
01/02/2002,0
01/03/2002,0
01/04/2002,0
01/05/2002,0
01/06/2002,0
01/07/2002,0
01/08/2002,0
01/09/2002,0
01/10/2002,0
01/11/2002,0
01/12/2002,0
01/01/2003,0
01/02/2003,0
01/03/2003,0
01/04/2003,0
01/05/2003,0
01/06/2003,0
01/07/2003,0
01/08/2003,0
01/09/2003,0
01/10/2003,0
01/11/2003,0
01/12/2003,0
01/01/2004,0
01/02/2004,0
01/03/2004,0
01/04/2004,0
01/05/2004,0
01/06/2004,0
01/07/2004,0
01/08/2004,0
01/09/2004,0
01/10/2004,0
01/11/2004,0
01/12/2004,0
01/01/2005,0
01/02/2005,0
01/03/2005,0
01/04/2005,0
01/05/2005,0
01/06/2005,0
01/07/2005,0
01/08/2005,0
01/09/2005,0
01/10/2005,0
01/11/2005,0
01/12/2005,0
01/01/2006,0
01/02/2006,0
01/03/2006,0
01/04/2006,0
01/05/2006,0
01/06/2006,0
01/07/2006,0
01/08/2006,0
01/09/2006,0
01/10/2006,0
01/11/2006,0
01/12/2006,0
01/01/2007,0
01/02/2007,0
01/03/2007,0
01/04/2007,0
01/05/2007,0
01/06/2007,0
01/07/2007,0
01/08/2007,0
01/09/2007,0
01/10/2007,0
01/11/2007,0
01/12/2007,0
01/01/2008,1
01/02/2008,1
01/03/2008,1
01/04/2008,1
01/05/2008,1
01/06/2008,1
01/07/2008,1
01/08/2008,1
01/09/2008,1
01/10/2008,1
01/11/2008,1
01/12/2008,1
01/01/2009,1
01/02/2009,1
01/03/2009,1
01/04/2009,1
01/05/2009,1
01/06/2009,1
01/07/2009,0
01/08/2009,0
01/09/2009,0
01/10/2009,0
01/11/2009,0
01/12/2009,0
01/01/2010,0
01/02/2010,0
01/03/2010,0
01/04/2010,0
01/05/2010,0
01/06/2010,0
01/07/2010,0
01/08/2010,0
01/09/2010,0
01/10/2010,0
01/11/2010,0
01/12/2010,0
01/01/2011,0
01/02/2011,0
01/03/2011,0
01/04/2011,0
01/05/2011,0
01/06/2011,0
01/07/2011,0
01/08/2011,0
01/09/2011,0
01/10/2011,0
01/11/2011,0
01/12/2011,0
01/01/2012,0
01/02/2012,0
01/03/2012,0
01/04/2012,0
01/05/2012,0
01/06/2012,0
01/07/2012,0
01/08/2012,0
01/09/2012,0
01/10/2012,0
01/11/2012,0
01/12/2012,0
01/01/2013,0
01/02/2013,0
01/03/2013,0
01/04/2013,0
01/05/2013,0
01/06/2013,0
01/07/2013,0
01/08/2013,0
01/09/2013,0
01/10/2013,0
01/11/2013,0
01/12/2013,0
01/01/2014,0
01/02/2014,0
01/03/2014,0
01/04/2014,0
01/05/2014,0
01/06/2014,0
01/07/2014,0
01/08/2014,0
